"zip","id","formattedAddress","addressLine1","addressLine2","city","state","zipCode","county","latitude","longitude","propertyType","listingType","bedrooms","bathrooms","squareFootage","lotSize","yearBuilt","hoa.fee","status","price","listedDate","removedDate","daysOnMarket"
"1","120-Village-St,-Dorset,-VT-05253","120 Village St, Dorset, VT 05253","120 Village St",NA,"Dorset","VT","05253","Bennington",43.2357,-73.0094,"Single Family","Standard",4,3.5,3861,47916,1850,NA,"Active",439500,"2024-11-27T00:00:00.000Z","list()",400
"1","Havoc-Hill-Rd,-Dorset,-VT-05253","Havoc Hill Rd, Dorset, VT 05253","Havoc Hill Rd",NA,"Dorset","VT","05253","Bennington",43.2398,-73.0093,"Land","Standard",NA,NA,NA,148975,NA,NA,"Active",249000,"2025-07-22T00:00:00.000Z","list()",163
"1","1347-Morse-Hill-Rd,-Lot-12A,-Dorset,-VT-05253","1347 Morse Hill Rd, Lot 12A, Dorset, VT 05253","1347 Morse Hill Rd","Lot 12A","Dorset","VT","05253","Bennington",43.2188,-73.0321,"Land","Standard",NA,NA,NA,405108,NA,13,"Active",329000,"2025-11-14T00:00:00.000Z","list()",48
"1","393-Morse-Hill-Rd,-Dorset,-VT-05253","393 Morse Hill Rd, Dorset, VT 05253","393 Morse Hill Rd",NA,"Dorset","VT","05253","Bennington",43.2263,-73.0179,"Single Family","Standard",3,2,1460,43560,1985,NA,"Inactive",459000,"2025-07-18T00:00:00.000Z","2025-10-22T00:00:00.000Z",96
"1","297-Mad-Tom-Rd,-Dorset,-VT-05253","297 Mad Tom Rd, Dorset, VT 05253","297 Mad Tom Rd",NA,"Dorset","VT","05253","Bennington",43.2391,-73.0042,"Single Family","Standard",3,1,1362,24829,1920,NA,"Inactive",339000,"2025-04-24T00:00:00.000Z","2025-06-12T00:00:00.000Z",49
"1","109-Mad-Tom-Rd,-Dorset,-VT-05253","109 Mad Tom Rd, Dorset, VT 05253","109 Mad Tom Rd",NA,"Dorset","VT","05253","Bennington",43.24,-73.008,"Single Family","Standard",4,1,2986,27007,1860,NA,"Inactive",599000,"2024-10-09T00:00:00.000Z","2025-02-18T00:00:00.000Z",132
"1","1310-Dorset-Hill-Rd,-Dorset,-VT-05253","1310 Dorset Hill Rd, Dorset, VT 05253","1310 Dorset Hill Rd",NA,"Dorset","VT","05253","Bennington",43.2377,-73.0194,"Single Family","Standard",4,3,3384,910404,1961,NA,"Inactive",1874500,"2024-06-21T00:00:00.000Z","2024-12-01T00:00:00.000Z",163
"1","737-Squirrel-Hollow-Rd,-Dorset,-VT-05253","737 Squirrel Hollow Rd, Dorset, VT 05253","737 Squirrel Hollow Rd",NA,"Dorset","VT","05253","Bennington",43.2464,-73.0181,"Land","Standard",NA,NA,NA,226948,NA,NA,"Inactive",435000,"2024-10-08T00:00:00.000Z","2024-11-25T00:00:00.000Z",48
"1","255-Mad-Tom-Rd,-Dorset,-VT-05253","255 Mad Tom Rd, Dorset, VT 05253","255 Mad Tom Rd",NA,"Dorset","VT","05253","Bennington",43.2394,-73.0052,"Single Family",NA,3,1.5,2168,15682,1905,NA,"Inactive",495000,"2024-05-28T00:00:00.000Z","2024-07-19T00:00:00.000Z",52
"1","308-Uphill-Ln,-Dorset,-VT-05253","308 Uphill Ln, Dorset, VT 05253","308 Uphill Ln",NA,"Dorset","VT","05253","Bennington",43.2296,-73.0291,"Single Family",NA,5,5,8835,500940,1989,NA,"Inactive",2250000,"2022-12-31T00:00:00.000Z","2024-04-23T00:00:00.000Z",479
"1","1902A-Dorset-Hill-Rd,-Dorset,-VT-05253","1902A Dorset Hill Rd, Dorset, VT 05253","1902A Dorset Hill Rd",NA,"Dorset","VT","05253","Bennington",43.2463,-73.0207,"Single Family",NA,4,2.5,2400,226512,2023,NA,"Inactive",1575000,"2023-09-01T00:00:00.000Z","2024-04-06T00:00:00.000Z",218
"1","124-Benedict-Rd,-Dorset,-VT-05253","124 Benedict Rd, Dorset, VT 05253","124 Benedict Rd",NA,"Dorset","VT","05253","Bennington",43.2245,-73.0121,"Single Family",NA,5,3,3031,23087,1840,NA,"Inactive",375000,"2024-03-07T00:00:00.000Z","2024-03-23T00:00:00.000Z",16
"1","1902-Dorset-Hill-Rd,-Dorset,-VT-05253","1902 Dorset Hill Rd, Dorset, VT 05253","1902 Dorset Hill Rd",NA,"Dorset","VT","05253","Bennington",43.2464,-73.0195,"Single Family",NA,4,2.5,3727,226512,2023,NA,"Inactive",1875000,"2023-10-05T00:00:00.000Z","2024-03-10T00:00:00.000Z",157
"1","768-Sleighbell-Ln,-Dorset,-VT-05253","768 Sleighbell Ln, Dorset, VT 05253","768 Sleighbell Ln",NA,"Dorset","VT","05253","Bennington",43.2119,-73.0238,"Single Family",NA,4,6,4198,322780,2006,NA,"Inactive",1475000,"2023-08-23T00:00:00.000Z","2023-12-28T00:00:00.000Z",127
"1","199-Mad-Tom-Rd,-Dorset,-VT-05253","199 Mad Tom Rd, Dorset, VT 05253","199 Mad Tom Rd",NA,"Dorset","VT","05253","Bennington",43.2398,-73.0063,"Single Family",NA,3,1.5,2340,54450,1860,NA,"Inactive",550000,"2023-07-04T00:00:00.000Z","2023-12-05T00:00:00.000Z",154
"1","96-Mt-Aeolus-Ln,-Dorset,-VT-05253","96 Mt Aeolus Ln, Dorset, VT 05253","96 Mt Aeolus Ln",NA,"Dorset","VT","05253","Bennington",43.2206,-73.023,"Single Family",NA,3,1,2678,130680,1987,NA,"Inactive",649000,"2023-06-04T00:00:00.000Z","2023-06-14T00:00:00.000Z",10
"1","85-Benedict-Rd,-Dorset,-VT-05253","85 Benedict Rd, Dorset, VT 05253","85 Benedict Rd",NA,"Dorset","VT","05253","Bennington",43.2219,-73.0123,"Single Family",NA,4,2.5,2129,21780,1965,NA,"Inactive",399000,"2022-09-26T00:00:00.000Z","2023-04-15T00:00:00.000Z",201
