"zip","id","formattedAddress","addressLine1","addressLine2","city","state","zipCode","county","latitude","longitude","propertyType","listingType","bedrooms","bathrooms","squareFootage","lotSize","yearBuilt","status","price","listedDate","removedDate","daysOnMarket"
"1","4327-Lindenwood-Dr,-Apt-2W,-Matteson,-IL-60443","4327 Lindenwood Dr, Apt 2W, Matteson, IL 60443","4327 Lindenwood Dr","Apt 2W","Matteson","IL","60443","Cook",41.5088,-87.7216,"Apartment","Standard",2,1,800,NA,NA,"Active",1450,"2025-02-19T00:00:00.000Z","list()",321
"1","5565-Allemong-Dr,-Matteson,-IL-60443","5565 Allemong Dr, Matteson, IL 60443","5565 Allemong Dr",NA,"Matteson","IL","60443","Cook",41.5218,-87.7485,"Townhouse","Standard",3,1,950,NA,NA,"Active",2450,"2025-09-16T00:00:00.000Z","list()",112
"1","21149-Main-St,-Matteson,-IL-60443","21149 Main St, Matteson, IL 60443","21149 Main St",NA,"Matteson","IL","60443","Cook",41.5045,-87.703,"Single Family","Standard",4,1,1200,NA,1955,"Active",2500,"2025-09-17T00:00:00.000Z","list()",111
"1","6213-Beaver-Dam-Rd,-Unit-1285022P,-Matteson,-IL-60443","6213 Beaver Dam Rd, Unit 1285022P, Matteson, IL 60443","6213 Beaver Dam Rd","Unit 1285022P","Matteson","IL","60443","Cook",41.5169,-87.7667,"Apartment","Standard",5,2,NA,NA,NA,"Active",13909,"2025-09-18T00:00:00.000Z","list()",110
"1","4061-Charleston-Rd,-Apt-3E,-Matteson,-IL-60443","4061 Charleston Rd, Apt 3E, Matteson, IL 60443","4061 Charleston Rd","Apt 3E","Matteson","IL","60443","Cook",41.498,-87.7154,"Single Family","Standard",2,1,1000,NA,1978,"Active",1500,"2025-09-19T00:00:00.000Z","list()",109
"1","4322-Lindenwood-Dr,-Matteson,-IL-60443","4322 Lindenwood Dr, Matteson, IL 60443","4322 Lindenwood Dr",NA,"Matteson","IL","60443","Cook",41.5093,-87.7213,"Apartment","Standard",2,1,900,NA,NA,"Active",1600,"2025-10-21T00:00:00.000Z","list()",77
"1","3830-217th-St,-Matteson,-IL-60443","3830 217th St, Matteson, IL 60443","3830 217th St",NA,"Matteson","IL","60443","Cook",41.4959,-87.7095,"Single Family","Standard",3,1,1400,NA,1950,"Active",2195,"2025-11-11T00:00:00.000Z","list()",56
"1","6113-Spring-Ln,-Matteson,-IL-60443","6113 Spring Ln, Matteson, IL 60443","6113 Spring Ln",NA,"Matteson","IL","60443","Cook",41.5167,-87.7643,"Single Family","Standard",3,2,1800,7500,1978,"Active",2700,"2025-11-16T00:00:00.000Z","list()",51
"1","5563-Allemong-Dr,-Unit-5563,-Matteson,-IL-60443","5563 Allemong Dr, Unit 5563, Matteson, IL 60443","5563 Allemong Dr","Unit 5563","Matteson","IL","60443","Cook",41.5218,-87.7485,"Single Family","Standard",2,1.5,1000,NA,NA,"Active",1715,"2025-11-19T00:00:00.000Z","list()",48
"1","6300-Beaver-Dam-Rd,-Matteson,-IL-60443","6300 Beaver Dam Rd, Matteson, IL 60443","6300 Beaver Dam Rd",NA,"Matteson","IL","60443","Cook",41.5174,-87.7687,"Single Family","Standard",3,2.5,1300,NA,1977,"Active",2450,"2025-11-24T00:00:00.000Z","list()",43
"1","133-Huntingwood-Rd,-Matteson,-IL-60443","133 Huntingwood Rd, Matteson, IL 60443","133 Huntingwood Rd",NA,"Matteson","IL","60443","Cook",41.5234,-87.758,"Single Family","Standard",4,2,1930,NA,NA,"Active",2910,"2025-12-04T00:00:00.000Z","list()",33
"1","5838-Woodgate-Dr,-Matteson,-IL-60443","5838 Woodgate Dr, Matteson, IL 60443","5838 Woodgate Dr",NA,"Matteson","IL","60443","Cook",41.5277,-87.7579,"Single Family","Standard",4,2,1611,NA,1981,"Active",3000,"2025-12-09T00:00:00.000Z","list()",28
"1","3434-W-218th-St,-Matteson,-IL-60443","3434 W 218th St, Matteson, IL 60443","3434 W 218th St",NA,"Matteson","IL","60443","Cook",41.4932,-87.7,"Single Family","Standard",3,1.5,1623,NA,NA,"Active",2420,"2025-12-21T00:00:00.000Z","list()",16
"1","4962-Bennett-St,-Matteson,-IL-60443","4962 Bennett St, Matteson, IL 60443","4962 Bennett St",NA,"Matteson","IL","60443","Cook",41.5213,-87.7402,"Townhouse","Standard",3,1.5,1384,NA,2016,"Active",2895,"2024-04-12T00:00:00.000Z","list()",634
"1","3530-214th-St,-Apt-2W,-Matteson,-IL-60443","3530 214th St, Apt 2W, Matteson, IL 60443","3530 214th St","Apt 2W","Matteson","IL","60443","Cook",41.5007,-87.7021,"Apartment","Standard",1,1,700,NA,NA,"Active",1550,"2025-12-24T00:00:00.000Z","list()",13
