"zip","id","formattedAddress","addressLine1","addressLine2","city","state","zipCode","county","latitude","longitude","propertyType","listingType","bedrooms","bathrooms","squareFootage","lotSize","yearBuilt","hoa.fee","status","price","listedDate","removedDate","daysOnMarket"
"1","3865-216th-St,-Matteson,-IL-60443","3865 216th St, Matteson, IL 60443","3865 216th St",NA,"Matteson","IL","60443","Cook",41.4973,-87.7112,"Single Family","Standard",3,2,1222,3964,1949,NA,"Active",225000,"2025-02-26T00:00:00.000Z","list()",314
"1","3817-216th-Pl,-Matteson,-IL-60443","3817 216th Pl, Matteson, IL 60443","3817 216th Pl",NA,"Matteson","IL","60443","Cook",41.4963,-87.709,"Single Family","Standard",4,2,1285,NA,1923,NA,"Active",219500,"2025-02-28T00:00:00.000Z","list()",312
"1","6260-Sunflower-Dr,-Matteson,-IL-60443","6260 Sunflower Dr, Matteson, IL 60443","6260 Sunflower Dr",NA,"Matteson","IL","60443","Cook",41.5158,-87.7684,"Single Family","Standard",3,2,1307,8820,1978,NA,"Active",250000,"2025-03-12T00:00:00.000Z","list()",300
"1","997-Regent-Dr,-Matteson,-IL-60443","997 Regent Dr, Matteson, IL 60443","997 Regent Dr",NA,"Matteson","IL","60443","Cook",41.5073,-87.7558,"Townhouse","Standard",3,2.5,2281,400,2019,130,"Active",309900,"2025-05-18T00:00:00.000Z","list()",233
"1","192-Owen-St,-Matteson,-IL-60443","192 Owen St, Matteson, IL 60443","192 Owen St",NA,"Matteson","IL","60443","Cook",41.5229,-87.7416,"Townhouse","Standard",2,2.5,1690,NA,2016,165,"Active",294900,"2025-06-04T00:00:00.000Z","list()",216
"1","6520-Bridle-Path-Dr,-Matteson,-IL-60443","6520 Bridle Path Dr, Matteson, IL 60443","6520 Bridle Path Dr",NA,"Matteson","IL","60443","Cook",41.5032,-87.7751,"Single Family","Standard",4,3.5,2100,9365,2005,17,"Active",360000,"2025-07-07T00:00:00.000Z","list()",183
"1","4329-Applewood-Ln,-Matteson,-IL-60443","4329 Applewood Ln, Matteson, IL 60443","4329 Applewood Ln",NA,"Matteson","IL","60443","Cook",41.5096,-87.7217,"Single Family","Standard",3,2,2600,7500,1977,NA,"Active",318000,"2025-07-17T00:00:00.000Z","list()",173
"1","3704-215th-St,-Apt-205,-Matteson,-IL-60443","3704 215th St, Apt 205, Matteson, IL 60443","3704 215th St","Apt 205","Matteson","IL","60443","Cook",41.4987,-87.7056,"Condo","Standard",2,2,1224,NA,1972,332,"Active",144950,"2025-07-22T00:00:00.000Z","list()",168
"1","6226-Beechwood-Rd,-Matteson,-IL-60443","6226 Beechwood Rd, Matteson, IL 60443","6226 Beechwood Rd",NA,"Matteson","IL","60443","Cook",41.5191,-87.7671,"Single Family","Short Sale",3,2,1453,8398,1975,NA,"Active",245000,"2025-08-05T00:00:00.000Z","list()",154
"1","255-Central-Ave,-Matteson,-IL-60443","255 Central Ave, Matteson, IL 60443","255 Central Ave",NA,"Matteson","IL","60443","Cook",41.521,-87.7485,"Single Family","Standard",3,3.5,1700,NA,2005,NA,"Active",299900,"2025-08-18T00:00:00.000Z","list()",141
"1","21607-Main-St,-Matteson,-IL-60443","21607 Main St, Matteson, IL 60443","21607 Main St",NA,"Matteson","IL","60443","Cook",41.4968,-87.7025,"Single Family","Standard",3,1,800,NA,1879,NA,"Active",135000,"2025-08-19T00:00:00.000Z","list()",140
"1","3133-Heritage-Blvd,-Matteson,-IL-60443","3133 Heritage Blvd, Matteson, IL 60443","3133 Heritage Blvd",NA,"Matteson","IL","60443","Cook",41.4979,-87.6931,"Single Family","Standard",4,2.5,2122,NA,2001,26,"Active",299999,"2025-08-20T00:00:00.000Z","list()",139
"1","6508-Fawn-Ct,-Matteson,-IL-60443","6508 Fawn Ct, Matteson, IL 60443","6508 Fawn Ct",NA,"Matteson","IL","60443","Cook",41.5003,-87.7745,"Land","Standard",NA,NA,NA,NA,NA,NA,"Active",39900,"2025-08-29T00:00:00.000Z","list()",130
"1","135-Treehouse-Rd,-Matteson,-IL-60443","135 Treehouse Rd, Matteson, IL 60443","135 Treehouse Rd",NA,"Matteson","IL","60443","Cook",41.5238,-87.7219,"Single Family","Standard",3,3.5,2000,NA,1999,21,"Active",299900,"2025-09-03T00:00:00.000Z","list()",125
"1","202-Owen-St,-Matteson,-IL-60443","202 Owen St, Matteson, IL 60443","202 Owen St",NA,"Matteson","IL","60443","Cook",41.5226,-87.7415,"Townhouse","Standard",2,1.5,1550,NA,2016,165,"Active",255000,"2025-09-02T00:00:00.000Z","list()",126
"1","116-Cloverleaf-Rd,-Matteson,-IL-60443","116 Cloverleaf Rd, Matteson, IL 60443","116 Cloverleaf Rd",NA,"Matteson","IL","60443","Cook",41.5239,-87.756,"Single Family","Standard",3,2,1391,8364,1975,NA,"Active",239000,"2025-09-06T00:00:00.000Z","list()",122
"1","5631-Colgate-Ln,-Matteson,-IL-60443","5631 Colgate Ln, Matteson, IL 60443","5631 Colgate Ln",NA,"Matteson","IL","60443","Cook",41.512,-87.7528,"Single Family","Standard",3,1.5,1437,9148,1963,NA,"Active",270000,"2025-09-11T00:00:00.000Z","list()",117
"1","433-Wheatfield-Rd,-Matteson,-IL-60443","433 Wheatfield Rd, Matteson, IL 60443","433 Wheatfield Rd",NA,"Matteson","IL","60443","Cook",41.5197,-87.7676,"Single Family","Standard",4,3,2140,NA,1994,NA,"Active",376000,"2025-09-15T00:00:00.000Z","list()",113
"1","3712-214th-St,-Matteson,-IL-60443","3712 214th St, Matteson, IL 60443","3712 214th St",NA,"Matteson","IL","60443","Cook",41.5008,-87.7058,"Single Family","Standard",3,1.5,1750,NA,1853,NA,"Active",109000,"2025-09-15T00:00:00.000Z","list()",113
"1","6200-Marsh-Ln,-Matteson,-IL-60443","6200 Marsh Ln, Matteson, IL 60443","6200 Marsh Ln",NA,"Matteson","IL","60443","Cook",41.5141,-87.7662,"Single Family","Standard",4,2.5,1442,8477,1989,NA,"Active",249999,"2025-09-17T00:00:00.000Z","list()",111
"1","856-Notre-Dame-Dr,-Matteson,-IL-60443","856 Notre Dame Dr, Matteson, IL 60443","856 Notre Dame Dr",NA,"Matteson","IL","60443","Cook",41.51,-87.7481,"Single Family","Standard",3,2,1445,8398,1972,NA,"Active",257700,"2025-09-18T00:00:00.000Z","list()",110
"1","217-Oriole-Rd,-Matteson,-IL-60443","217 Oriole Rd, Matteson, IL 60443","217 Oriole Rd",NA,"Matteson","IL","60443","Cook",41.5221,-87.7603,"Single Family","Standard",4,2.5,1843,8398,1976,NA,"Active",289999,"2025-09-21T00:00:00.000Z","list()",107
"1","3809-215th-St,-Matteson,-IL-60443","3809 215th St, Matteson, IL 60443","3809 215th St",NA,"Matteson","IL","60443","Cook",41.4981,-87.7087,"Single Family","Standard",3,2,1423,3750,1955,NA,"Active",239800,"2025-09-23T00:00:00.000Z","list()",105
"1","970-Regent-Dr,-Matteson,-IL-60443","970 Regent Dr, Matteson, IL 60443","970 Regent Dr",NA,"Matteson","IL","60443","Cook",41.508,-87.7564,"Land","Standard",NA,NA,NA,NA,NA,NA,"Active",336000,"2025-09-25T00:00:00.000Z","list()",103
"1","25-Pheasant-Rd,-Matteson,-IL-60443","25 Pheasant Rd, Matteson, IL 60443","25 Pheasant Rd",NA,"Matteson","IL","60443","Cook",41.5255,-87.7597,"Single Family","Standard",4,2.5,1909,NA,1976,NA,"Active",284000,"2025-10-02T00:00:00.000Z","list()",96
"1","260-Hibiscus-Cir,-Matteson,-IL-60443","260 Hibiscus Cir, Matteson, IL 60443","260 Hibiscus Cir",NA,"Matteson","IL","60443","Cook",41.4937,-87.7661,"Manufactured","Standard",3,2,NA,NA,2000,NA,"Active",89900,"2025-10-02T00:00:00.000Z","list()",96
"1","123-Oriole-Rd,-Matteson,-IL-60443","123 Oriole Rd, Matteson, IL 60443","123 Oriole Rd",NA,"Matteson","IL","60443","Cook",41.5237,-87.7602,"Single Family","Standard",3,2,1730,8398,1977,NA,"Active",220000,"2025-10-03T00:00:00.000Z","list()",95
"1","10-Wedgewood-Rd,-Matteson,-IL-60443","10 Wedgewood Rd, Matteson, IL 60443","10 Wedgewood Rd",NA,"Matteson","IL","60443","Cook",41.5277,-87.7633,"Single Family","Standard",3,2,978,NA,1985,NA,"Active",350000,"2025-10-07T00:00:00.000Z","list()",91
"1","858-Academy-Ave,-Matteson,-IL-60443","858 Academy Ave, Matteson, IL 60443","858 Academy Ave",NA,"Matteson","IL","60443","Cook",41.51,-87.7286,"Single Family","Standard",3,1.5,2500,NA,1981,NA,"Active",299000,"2025-10-08T00:00:00.000Z","list()",90
"1","175-Owen-St,-Matteson,-IL-60443","175 Owen St, Matteson, IL 60443","175 Owen St",NA,"Matteson","IL","60443","Cook",41.5232,-87.7406,"Single Family","Standard",4,2.5,2245,8046,2017,112,"Active",325000,"2025-10-09T00:00:00.000Z","list()",89
"1","5911-Timberlane-Rd,-Matteson,-IL-60443","5911 Timberlane Rd, Matteson, IL 60443","5911 Timberlane Rd",NA,"Matteson","IL","60443","Cook",41.5263,-87.7592,"Single Family","Standard",4,2.5,1776,9230,1977,NA,"Active",248000,"2025-10-10T00:00:00.000Z","list()",88
"1","608-Tanglewood-Rd,-Matteson,-IL-60443","608 Tanglewood Rd, Matteson, IL 60443","608 Tanglewood Rd",NA,"Matteson","IL","60443","Cook",41.4922,-87.7726,"Manufactured","Standard",2,1,NA,NA,1982,NA,"Active",39900,"2025-10-13T00:00:00.000Z","list()",85
"1","6125-Sunflower-Dr,-Matteson,-IL-60443","6125 Sunflower Dr, Matteson, IL 60443","6125 Sunflower Dr",NA,"Matteson","IL","60443","Cook",41.5152,-87.7647,"Single Family","Standard",4,2.5,1610,NA,1980,NA,"Active",344900,"2025-10-14T00:00:00.000Z","list()",84
"1","4228-Applewood-Ln,-Matteson,-IL-60443","4228 Applewood Ln, Matteson, IL 60443","4228 Applewood Ln",NA,"Matteson","IL","60443","Cook",41.5102,-87.7192,"Single Family","Standard",3,1.5,1803,NA,1970,NA,"Active",199900,"2025-10-15T00:00:00.000Z","list()",83
"1","6216-Pond-View-Dr,-Matteson,-IL-60443","6216 Pond View Dr, Matteson, IL 60443","6216 Pond View Dr",NA,"Matteson","IL","60443","Cook",41.5099,-87.7671,"Single Family","Standard",4,2.5,2471,10097,2005,NA,"Active",366000,"2025-10-16T00:00:00.000Z","list()",82
"1","5838-Woodgate-Dr,-Matteson,-IL-60443","5838 Woodgate Dr, Matteson, IL 60443","5838 Woodgate Dr",NA,"Matteson","IL","60443","Cook",41.5277,-87.7579,"Single Family","Standard",4,2,1611,10010,1981,NA,"Active",210000,"2025-10-17T00:00:00.000Z","list()",81
"1","98-Lawrence-Ln,-Matteson,-IL-60443","98 Lawrence Ln, Matteson, IL 60443","98 Lawrence Ln",NA,"Matteson","IL","60443","Cook",41.5245,-87.7365,"Single Family","Standard",4,2.5,2286,NA,2016,100,"Active",365000,"2025-10-21T00:00:00.000Z","list()",77
"1","21218-Shannon-Ave,-Matteson,-IL-60443","21218 Shannon Ave, Matteson, IL 60443","21218 Shannon Ave",NA,"Matteson","IL","60443","Cook",41.502,-87.7684,"Single Family","Standard",4,3.5,3500,NA,2001,21,"Active",499000,"2025-10-22T00:00:00.000Z","list()",76
"1","21142-Locust-St,-Matteson,-IL-60443","21142 Locust St, Matteson, IL 60443","21142 Locust St",NA,"Matteson","IL","60443","Cook",41.5048,-87.7049,"Single Family","Standard",3,3,1350,5625,1950,NA,"Active",171000,"2025-10-24T00:00:00.000Z","list()",74
"1","6037-Spring-Ln,-Matteson,-IL-60443","6037 Spring Ln, Matteson, IL 60443","6037 Spring Ln",NA,"Matteson","IL","60443","Cook",41.5167,-87.7628,"Single Family","Standard",3,2,1354,NA,1975,NA,"Active",229000,"2025-10-24T00:00:00.000Z","list()",74
"1","4325-Oakwood-Ln,-Matteson,-IL-60443","4325 Oakwood Ln, Matteson, IL 60443","4325 Oakwood Ln",NA,"Matteson","IL","60443","Cook",41.5105,-87.7214,"Single Family","Standard",4,2.5,2120,NA,1969,NA,"Active",290000,"2025-10-30T00:00:00.000Z","list()",68
"1","829-Princeton-Ave,-Matteson,-IL-60443","829 Princeton Ave, Matteson, IL 60443","829 Princeton Ave",NA,"Matteson","IL","60443","Cook",41.5111,-87.7532,"Single Family","Standard",3,1.5,1225,NA,1962,NA,"Active",186000,"2025-10-31T00:00:00.000Z","list()",67
"1","820-School-Ave,-Matteson,-IL-60443","820 School Ave, Matteson, IL 60443","820 School Ave",NA,"Matteson","IL","60443","Cook",41.5111,-87.7263,"Single Family","Standard",3,1.5,1735,NA,1978,NA,"Active",314900,"2025-10-31T00:00:00.000Z","list()",67
"1","5808-Allemong-Dr,-Matteson,-IL-60443","5808 Allemong Dr, Matteson, IL 60443","5808 Allemong Dr",NA,"Matteson","IL","60443","Cook",41.5214,-87.7568,"Single Family","Standard",3,2,1212,8398,1972,NA,"Active",219900,"2025-11-01T00:00:00.000Z","list()",66
"1","831-Violet-Ln,-Matteson,-IL-60443","831 Violet Ln, Matteson, IL 60443","831 Violet Ln",NA,"Matteson","IL","60443","Cook",41.5106,-87.7136,"Single Family","Foreclosure",3,2,1180,NA,1976,NA,"Active",315900,"2025-11-03T00:00:00.000Z","list()",64
"1","4500-203rd-St,-Matteson,-IL-60443","4500 203rd St, Matteson, IL 60443","4500 203rd St",NA,"Matteson","IL","60443","Cook",41.521,-87.7244,"Single Family","New Construction",4,2.5,3200,10585,2025,29,"Active",545000,"2025-11-03T00:00:00.000Z","list()",64
"1","4110-Applewood-Ln,-Matteson,-IL-60443","4110 Applewood Ln, Matteson, IL 60443","4110 Applewood Ln",NA,"Matteson","IL","60443","Cook",41.5103,-87.7162,"Single Family","Foreclosure",4,2.5,2194,8154,1965,NA,"Active",280000,"2025-11-05T00:00:00.000Z","list()",62
"1","3919-214th-St,-Matteson,-IL-60443","3919 214th St, Matteson, IL 60443","3919 214th St",NA,"Matteson","IL","60443","Cook",41.5011,-87.7115,"Single Family","Standard",3,1.5,1455,NA,1956,NA,"Active",209900,"2025-11-14T00:00:00.000Z","list()",53
"1","6306-Beaver-Dam-Rd,-Matteson,-IL-60443","6306 Beaver Dam Rd, Matteson, IL 60443","6306 Beaver Dam Rd",NA,"Matteson","IL","60443","Cook",41.5174,-87.7689,"Single Family","Standard",3,2,1168,NA,1978,NA,"Active",265000,"2025-11-15T00:00:00.000Z","list()",52
"1","56-Timberlane-Rd,-Matteson,-IL-60443","56 Timberlane Rd, Matteson, IL 60443","56 Timberlane Rd",NA,"Matteson","IL","60443","Cook",41.5246,-87.7628,"Single Family","Standard",4,3,2068,NA,1979,NA,"Active",324900,"2025-11-15T00:00:00.000Z","list()",52
"1","912-Princeton-Ave,-Matteson,-IL-60443","912 Princeton Ave, Matteson, IL 60443","912 Princeton Ave",NA,"Matteson","IL","60443","Cook",41.5096,-87.7539,"Single Family","Foreclosure",4,1.5,1890,6960,1962,NA,"Active",159900,"2025-11-18T00:00:00.000Z","list()",49
"1","186-Aster-Ln,-Matteson,-IL-60443","186 Aster Ln, Matteson, IL 60443","186 Aster Ln",NA,"Matteson","IL","60443","Cook",41.4945,-87.7688,"Manufactured","Standard",3,2,2112,7502,2003,NA,"Active",78995,"2025-11-18T00:00:00.000Z","list()",49
"1","5628-Crestwood-Rd,-Matteson,-IL-60443","5628 Crestwood Rd, Matteson, IL 60443","5628 Crestwood Rd",NA,"Matteson","IL","60443","Cook",41.5231,-87.7527,"Single Family","Standard",4,2,1723,NA,1973,NA,"Active",335000,"2025-11-18T00:00:00.000Z","list()",49
"1","5943-Woodgate-Dr,-Matteson,-IL-60443","5943 Woodgate Dr, Matteson, IL 60443","5943 Woodgate Dr",NA,"Matteson","IL","60443","Cook",41.5272,-87.7604,"Single Family","Standard",4,2,1611,10890,1977,NA,"Active",249900,"2025-11-21T00:00:00.000Z","list()",46
"1","5503-Georgetown-Dr,-Matteson,-IL-60443","5503 Georgetown Dr, Matteson, IL 60443","5503 Georgetown Dr",NA,"Matteson","IL","60443","Cook",41.5068,-87.7494,"Single Family","Standard",4,1.5,1650,NA,1971,NA,"Active",320000,"2025-11-25T00:00:00.000Z","list()",42
"1","722-Kostner-Ave,-Matteson,-IL-60443","722 Kostner Ave, Matteson, IL 60443","722 Kostner Ave",NA,"Matteson","IL","60443","Cook",41.5129,-87.7224,"Single Family","Standard",4,2,1275,11378,1976,NA,"Active",289900,"2025-12-01T00:00:00.000Z","list()",36
"1","4052-Charleston-Rd,-Matteson,-IL-60443","4052 Charleston Rd, Matteson, IL 60443","4052 Charleston Rd",NA,"Matteson","IL","60443","Cook",41.4985,-87.715,"Multi-Family","Standard",14,6,NA,17424,1978,NA,"Active",700000,"2025-12-01T00:00:00.000Z","list()",36
"1","605-Tanglewood-Rd,-Matteson,-IL-60443","605 Tanglewood Rd, Matteson, IL 60443","605 Tanglewood Rd",NA,"Matteson","IL","60443","Cook",41.4922,-87.7721,"Manufactured","Standard",2,1,NA,5000,1983,NA,"Active",51000,"2025-12-03T00:00:00.000Z","list()",34
"1","381-Marigold-Cir,-Matteson,-IL-60443","381 Marigold Cir, Matteson, IL 60443","381 Marigold Cir",NA,"Matteson","IL","60443","Cook",41.4955,-87.7657,"Manufactured","Standard",3,2,1848,7200,1998,NA,"Active",77995,"2025-12-09T00:00:00.000Z","list()",28
