"geoid","name","year","b19013_001","b25095_001","b25074_001"
"17197880105","Tract 8801.05, Will County, IL",2015,88246,1957,239
"17197880106","Tract 8801.06, Will County, IL",2015,61581,1165,218
"17197880107","Tract 8801.07, Will County, IL",2015,57790,1236,313
"17197880109","Tract 8801.09, Will County, IL",2015,71902,1594,174
"17197880111","Tract 8801.11, Will County, IL",2015,63075,874,175
"17197880112","Tract 8801.12, Will County, IL",2015,82045,545,55
"17197880113","Tract 8801.13, Will County, IL",2015,54063,666,316
"17197880114","Tract 8801.14, Will County, IL",2015,30710,247,783
"17197880115","Tract 8801.15, Will County, IL",2015,45583,788,231
"17197880116","Tract 8801.16, Will County, IL",2015,75353,834,145
"17197880117","Tract 8801.17, Will County, IL",2015,29668,411,908
"17197880118","Tract 8801.18, Will County, IL",2015,152468,1424,5
"17197880119","Tract 8801.19, Will County, IL",2015,122778,1347,111
"17197880202","Tract 8802.02, Will County, IL",2015,64028,1215,276
"17197880203","Tract 8802.03, Will County, IL",2015,55650,1176,126
"17197880204","Tract 8802.04, Will County, IL",2015,61802,1771,506
"17197880303","Tract 8803.03, Will County, IL",2015,117027,1221,106
"17197880304","Tract 8803.04, Will County, IL",2015,141250,1531,16
"17197880305","Tract 8803.05, Will County, IL",2015,150068,1502,24
"17197880307","Tract 8803.07, Will County, IL",2015,95658,1340,744
"17197880309","Tract 8803.09, Will County, IL",2015,157740,1409,56
"17197880314","Tract 8803.14, Will County, IL",2015,147256,1886,106
"17197880408","Tract 8804.08, Will County, IL",2015,77536,1331,294
"17197880411","Tract 8804.11, Will County, IL",2015,101000,939,225
"17197880412","Tract 8804.12, Will County, IL",2015,80026,1176,177
"17197880414","Tract 8804.14, Will County, IL",2015,74120,1340,69
"17197880416","Tract 8804.16, Will County, IL",2015,74914,934,62
"17197880417","Tract 8804.17, Will County, IL",2015,84141,898,45
"17197880418","Tract 8804.18, Will County, IL",2015,106739,1437,29
"17197880421","Tract 8804.21, Will County, IL",2015,101799,1627,106
"17197880502","Tract 8805.02, Will County, IL",2015,77458,1404,273
"17197880503","Tract 8805.03, Will County, IL",2015,46771,1672,212
"17197880601","Tract 8806.01, Will County, IL",2015,83841,1073,165
"17197880602","Tract 8806.02, Will County, IL",2015,66383,1031,420
"17197880701","Tract 8807.01, Will County, IL",2015,65726,1527,311
"17197880702","Tract 8807.02, Will County, IL",2015,48214,635,353
"17197880901","Tract 8809.01, Will County, IL",2015,58474,2380,216
"17197880903","Tract 8809.03, Will County, IL",2015,30333,421,925
"17197880905","Tract 8809.05, Will County, IL",2015,60045,640,297
"17197881001","Tract 8810.01, Will County, IL",2015,86399,1661,158
"17197881002","Tract 8810.02, Will County, IL",2015,82813,1493,312
"17197881005","Tract 8810.05, Will County, IL",2015,98594,1176,61
