zip,id,formattedA,addressLin,addressL_1,city,state,zipCode,county,latitude,longitude,propertyTy,listingTyp,bedrooms,bathrooms,squareFoot,lotSize,yearBuilt,status,price,listedDate,removedDat,daysOnMark,year
"1","26835-S-Linden-Ln,-Crete,-IL-60417","26835 S Linden Ln, Crete, IL 60417",26835 S Linden Ln,NA,Crete,IL,"60417",Will,41.403300000000002,-87.622699999999995,Single Family,Standard,"4","2","1406",NA,"1965",Active,"2650",2025-09-02T00:00:00.000Z,list(),"65",
"1","1235-Columbia-St,-Apt-5,-Crete,-IL-60417","1235 Columbia St, Apt 5, Crete, IL 60417",1235 Columbia St,Apt 5,Crete,IL,"60417",Will,41.448099999999997,-87.635499999999993,Condo,Standard,"2","1","900",NA,"1971",Active,"1100",2025-10-07T00:00:00.000Z,list(),"30","2025"
"1","3523-Jacqueline-Dr,-Crete,-IL-60417","3523 Jacqueline Dr, Crete, IL 60417",3523 Jacqueline Dr,NA,Crete,IL,"60417",Will,41.465699999999998,-87.579700000000003,Single Family,Standard,"3","2","1800",NA,"1985",Active,"2900",2025-09-16T00:00:00.000Z,list(),"51",
"1","23622-S-Ashland-Ave,-Crete,-IL-60417","23622 S Ashland Ave, Crete, IL 60417",23622 S Ashland Ave,NA,Crete,IL,"60417",Will,41.461900000000000,-87.652100000000004,Single Family,Standard,"2","1","720","25370",NA,Active,"1500",2025-07-02T00:00:00.000Z,list(),"125","2025"
"1","23765-S-Loomis-St,-Crete,-IL-60417","23765 S Loomis St, Crete, IL 60417",23765 S Loomis St,NA,Crete,IL,"60417",Will,41.458199999999998,-87.645700000000005,Single Family,Standard,"4","2","2516",NA,NA,Inactive,"3200",2025-07-19T00:00:00.000Z,2025-10-11T00:00:00.000Z,"84",
"1","453-W-Exchange-St,-Crete,-IL-60417","453 W Exchange St, Crete, IL 60417",453 W Exchange St,NA,Crete,IL,"60417",Will,41.444899999999997,-87.629700000000000,Single Family,Standard,"3","1","900","8400",NA,Inactive,"1750",2024-12-21T00:00:00.000Z,2025-06-04T00:00:00.000Z,"165","2024"
"1","513-Linden-St,-Apt-2,-Crete,-IL-60417","513 Linden St, Apt 2, Crete, IL 60417",513 Linden St,Apt 2,Crete,IL,"60417",Will,41.448900000000002,-87.632800000000003,Apartment,Standard,"2","1","850",NA,NA,Inactive,"1350",2025-04-27T00:00:00.000Z,2025-05-28T00:00:00.000Z,"31","2025"
"1","24554-S-Independence-Blvd,-Crete,-IL-60417","24554 S Independence Blvd, Crete, IL 60417",24554 S Independence Blvd,NA,Crete,IL,"60417",Will,41.444899999999997,-87.645499999999998,Townhouse,Standard,"2","1.5","1236",NA,"1998",Inactive,"2200",2025-02-19T00:00:00.000Z,2025-03-06T00:00:00.000Z,"15","2025"
"1","455-W-Exchange-St,-Crete,-IL-60417","455 W Exchange St, Crete, IL 60417",455 W Exchange St,NA,Crete,IL,"60417",Will,41.445000000000000,-87.629800000000003,Single Family,Standard,"2","1","900","8400",NA,Inactive,"1400",2024-11-07T00:00:00.000Z,2024-12-12T00:00:00.000Z,"35","2024"
"1","24332-S-State-Line-Rd,-Crete,-IL-60417","24332 S State Line Rd, Crete, IL 60417",24332 S State Line Rd,NA,Crete,IL,"60417",Will,41.449800000000003,-87.526499999999999,Single Family,Standard,"4","3","2439","37320","1970",Inactive,"3100",2024-07-31T00:00:00.000Z,2024-11-02T00:00:00.000Z,"94",
"1","3679-Ronald-Rd,-Crete,-IL-60417","3679 Ronald Rd, Crete, IL 60417",3679 Ronald Rd,NA,Crete,IL,"60417",Will,41.460599999999999,-87.585400000000007,Single Family,Standard,"3","3",NA,NA,NA,Inactive,"2600",2024-09-16T00:00:00.000Z,2024-10-08T00:00:00.000Z,"22",
