id,type,category,name,amenity,shop,leisure,highway,railway,public_transport,addr_street,addr_housenumber,addr_city,phone,website,opening_hours,lat,lon
261265255,node,parks,,,,park,,,,,,,,,,41.5554039,-87.7254109
354102816,node,parks,Des Plaines State Conservation Area,,,park,,,,,,,,,,41.3933644,-88.2100613
354117226,node,parks,Legion Park,,,park,,,,,,,,,,41.6011499,-88.0494506
354141076,node,parks,Rivals Park,,,park,,,,,,,,,,41.5519752,-88.0895038
354150105,node,parks,Van Horne Woods Forest Preserve,,,nature_reserve,,,,,,,,,,41.5084576,-87.8828823
354164194,node,parks,Stonebridge Park,,,park,,,,,,,,,,41.4875315,-87.9847765
354165168,node,parks,Pine Lake Park,,,park,,,,,,,,,,41.4436454,-87.7047666
354171586,node,parks,Santa Fe Park,,,park,,,,,,,,,,41.7249671,-87.9095598
354175009,node,parks,Donnelly Park,,,park,,,,,,,,,,41.613923,-87.6897702
354175026,node,parks,Irons Oak Park,,,park,,,,,,,,,,41.5289235,-87.6775457
354175130,node,parks,Dresser Park,,,park,,,,,,,,,,41.6108008,-87.6872899
354175179,node,parks,Tierra Grande Park,,,park,,,,,,,,,,41.5475343,-87.7222697
354175266,node,parks,Radio Station Park,,,park,,,,,,,,,,41.6036453,-87.6778251
354175894,node,parks,Will County Forest Preserve,,,park,,,,,,,,,,41.3555876,-87.9431057
354204510,node,parks,Wedgwood Park,,,park,,,,,,,,,,41.6269773,-87.8197747
354205404,node,parks,Grove Park,,,park,,,,,,,,,,41.5833665,-87.8119956
354206110,node,parks,Birdheaven Park,,,park,,,,,,,,,,41.5308645,-88.0072782
354206138,node,parks,Bonnie Brae Park,,,park,,,,,,,,,,41.5990029,-88.0411528
354206144,node,parks,Bluff Park,,,park,,,,,,,,,,41.4350309,-88.2014503
354206241,node,parks,Lower Spring Creek County Forest Preserve,,,park,,,,,,,,,,41.5461422,-88.0392242
354207668,node,parks,Haley Park,,,park,,,,,,,,,,41.5483654,-87.9242205
354207788,node,parks,Sugar Creek County Forest Preserve,,,park,,,,,,,,,,41.4855868,-88.0472786
354207820,node,parks,Zalor County Forest Preserve,,,park,,,,,,,,,,41.4953091,-88.0250558
354208061,node,parks,Erickson Park,,,park,,,,,,,,,,41.4128978,-88.1139967
354208093,node,parks,Channahon Parkway State Park,,,park,,,,,,,,,,41.4241976,-88.2275623
354228321,node,parks,Aspen Park,,,park,,,,,,,,,,41.7001982,-87.8339331
354228949,node,parks,Joliet East Side Historic District,,,park,,,,,,,,,,41.5205866,-88.0764471
354228970,node,parks,Lockport Historic District,,,park,,,,,,,,,,41.5894753,-88.0570036
354229176,node,parks,Hickory Creek County Forest Preserve,,,park,,,,,,,,,,41.5141993,-87.8953299
354229204,node,parks,Tanglewood Park,,,park,,,,,,,,,,41.5125329,-87.8669956
