id,type,category,name,amenity,shop,leisure,highway,railway,public_transport,addr_street,addr_housenumber,addr_city,phone,website,opening_hours,lat,lon
261156770,node,transit,115th Street Metra Station,,,,,,stop_position,,,,,,,41.6858441,-87.6124052
368074596,node,transit,Ivanhoe,,,,,station,station,West 144th Street,,Riverdale,,https://metra.com/train-lines/stations/ivanhoe,,41.6330687,-87.630569
368074599,node,transit,Riverdale,,,,,stop,stop_position,,,,,,,41.6463445,-87.6234006
401458379,node,transit,87th Street (Woodruff),,,,,stop,stop_position,,,,,,,41.7376851,-87.6001721
401458387,node,transit,87th Street (Woodruff),,,,,stop,stop_position,,,,,,,41.7373101,-87.6003726
711332489,node,transit,93rd Street & Escanaba,,,,,,stop_position,,,,,,,41.7263851,-87.554143
712911964,node,transit,87th Street,,,,,station,station,East 87th Street,,Chicago,,https://metra.com/train-lines/stations/87th-st-south-chicago,,41.7384761,-87.5483211
712911965,node,transit,South Chicago (93rd Street),,,,,station,station,East 93rd Street,,Chicago,,https://metra.com/train-lines/stations/93rd-st-south-chicago,,41.7273913,-87.5477862
712912385,node,transit,87th Street,,,,,stop,stop_position,,,,,,,41.7380101,-87.5482783
712912419,node,transit,South Chicago (93rd Street),,,,,stop,stop_position,,,,,,,41.7269696,-87.5477171
716918055,node,transit,Gresham,,,,,station,station,West 87th Street,820,Chicago,,https://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.GRESHAM.html,,41.7366279,-87.6446465
716918065,node,transit,Brainerd,,,,,station,station,South Loomis Street,8901,Chicago,,,,41.7321231,-87.65896
716918077,node,transit,91st Street (Beverly Hills),,,,,station,station,South Prospect Street,9105,Chicago,,,,41.727968,-87.6671729
716918084,node,transit,95th Street (Beverly Hills),,,,,station,station,West 95th Street,1766,Chicago,,,,41.7214304,-87.6675082
716918694,node,transit,Gresham,,,,,stop,stop_position,,,,,,,41.7378901,-87.6441124
716925805,node,transit,Gresham,,,,,stop,stop_position,,,,,,,41.7363039,-87.6448015
717283168,node,transit,103rd Street (Washington Heights),,,,,stop,stop_position,,,,,,,41.705969,-87.6559566
717283193,node,transit,Blue Island (Vermont Street),,,,,station,station,Grove Street,2300,Blue Island,,https://metra.com/train-lines/stations/blue-island-vermont-st,,41.6548441,-87.6777671
717399987,node,transit,Blue Island (Vermont Street),,,,,stop,stop_position,,,,,,,41.6546747,-87.6782002
717400235,node,transit,Blue Island (Vermont Street),,,,,stop,stop_position,,,,,,,41.6553734,-87.6767985
717409879,node,transit,Blue Island,,,,,station,station,Vermont Street,,Blue Island,,https://metra.com/train-lines/stations/blue-island,,41.6558511,-87.6761068
717468715,node,transit,111th Street (Morgan Park),,,,,station,station,South Hale Avenue,11046,Chicago,,,,41.6925678,-87.6705457
717468735,node,transit,115th Street (Morgan Park),,,,,station,station,West 115th Street,1982,Chicago,,,,41.6853976,-87.6714035
717468755,node,transit,119th Street,,,,,station,station,West 119th Street,2040,Blue Island,,,,41.67643,-87.6726266
