year,geoid,b25095_001,b25074_001,b19013_001,name
2015,17031824119,0,0,NA,NA
2015,17031829904,0,0,NA,NA
2015,17043846201,0.0623343108,0.0051366804,122777.99999999999,NA
2015,17043846304,4.5268960000000003e-4,1.5895e-6,152468,NA
2015,17043846524,0.049336656,0.0273928896,95658,NA
2015,17063000800,0,0,NA,NA
2015,17197880105,1957,239,88246,"Tract 8801.05, Will County, IL"
2015,17197880106,1165,218,61581,"Tract 8801.06, Will County, IL"
2015,17197880107,1236,313,57790,"Tract 8801.07, Will County, IL"
2015,17197880109,1594,174,71902,"Tract 8801.09, Will County, IL"
2015,17197880111,874,175,63075,"Tract 8801.11, Will County, IL"
2015,17197880112,545.0371575257,55.2225552886,82031.77602205003,"Tract 8801.12, Will County, IL"
2015,17197880113,666,316,54063,"Tract 8801.13, Will County, IL"
2015,17197880114,247,783,30710,"Tract 8801.14, Will County, IL"
2015,17197880115,788,231,45583,"Tract 8801.15, Will County, IL"
2015,17197880116,834,145,75353,"Tract 8801.16, Will County, IL"
2015,17197880117,410.9628424743,907.7774447114,29674.403702437856,"Tract 8801.17, Will County, IL"
2015,17197880118,1423.9995473104,4.9999984105,152468,"Tract 8801.18, Will County, IL"
2015,17197880119,1347.3612626231,110.99799679069999,122783.32649031823,"Tract 8801.19, Will County, IL"
2015,17197880123,0,0,NA,NA
2015,17197880125,0,0,NA,NA
2015,17197880202,1215,276,64028,"Tract 8802.02, Will County, IL"
2015,17197880203,1142.4798100296,122.4085510746,55650,"Tract 8802.03, Will County, IL"
2015,17197880204,1804.5201899704,509.5914489254,61631.505773935896,"Tract 8802.04, Will County, IL"
2015,17197880303,1221,106,117027,"Tract 8803.03, Will County, IL"
2015,17197880304,1530.5764030661,15.9968665289,141249.7534288758,"Tract 8803.04, Will County, IL"
2015,17197880305,1502,24,150068,"Tract 8803.05, Will County, IL"
2015,17197880307,1339.950663344,743.9726071104,95658,"Tract 8803.07, Will County, IL"
2015,17197880309,1409,56,157740,"Tract 8803.09, Will County, IL"
2015,17197880314,1886,106,147256,"Tract 8803.14, Will County, IL"
2015,17197880320,0,0,NA,NA
2015,17197880408,1331,294,77536,"Tract 8804.08, Will County, IL"
2015,17197880411,939,225,101000,"Tract 8804.11, Will County, IL"
2015,17197880412,1176,177,80026,"Tract 8804.12, Will County, IL"
2015,17197880414,1338.19892476,68.907258066,74120,"Tract 8804.14, Will County, IL"
2015,17197880416,934,62,74914,"Tract 8804.16, Will County, IL"
2015,17197880417,898,45,84141,"Tract 8804.17, Will County, IL"
2015,17197880418,1437,29,106739,"Tract 8804.18, Will County, IL"
2015,17197880421,1627,106,101799,"Tract 8804.21, Will County, IL"
2015,17197880427,1.80107524,0.092741934,74120,NA
2015,17197880429,0,0,NA,NA
2015,17197880502,1404.6845949286,273.278884452,77450.65096244383,"Tract 8805.02, Will County, IL"
2015,17197880503,1672,212,46771,"Tract 8805.03, Will County, IL"
2015,17197880601,1073,165,83841,"Tract 8806.01, Will County, IL"
2015,17197880602,1030.3154050714,419.721115548,66383,"Tract 8806.02, Will County, IL"
2015,17197880701,1529.737068948,312.5215517144,65650.84120219569,"Tract 8807.01, Will County, IL"
2015,17197880702,632.262931052,351.4784482856,48214,"Tract 8807.02, Will County, IL"
2015,17197880901,2380,216,58474,"Tract 8809.01, Will County, IL"
2015,17197880903,575.5332201747999,900.9694084995,38547.24675212884,"Tract 8809.03, Will County, IL"
2015,17197880905,605.5896988332,318.881570885,58446.08235718764,"Tract 8809.05, Will County, IL"
2015,17197881001,1660.044303786,157.909090908,86399,"Tract 8810.01, Will County, IL"
2015,17197881002,1493.955696214,312.090909092,82815.06210468258,"Tract 8810.02, Will County, IL"
2015,17197881005,1176,61,98594,"Tract 8810.05, Will County, IL"
2015,17197881006,769,76,80694,"Tract 8810.06, Will County, IL"
2015,17197881007,1828,41,101391,"Tract 8810.07, Will County, IL"
2015,17197881009,2140,146,81900,"Tract 8810.09, Will County, IL"
2015,17197881010,1127,68,79931,"Tract 8810.10, Will County, IL"
2015,17197881011,1024,61,73681,"Tract 8810.11, Will County, IL"
2015,17197881012,964,4,108571,"Tract 8810.12, Will County, IL"
2015,17197881105,1880.2226618149,100.0472497981,104520.82244390828,"Tract 8811.05, Will County, IL"
2015,17197881107,939.78125,183.953125,76336,"Tract 8811.07, Will County, IL"
2015,17197881108,1921,107,90081,"Tract 8811.08, Will County, IL"
2015,17197881109,1047,503,77888,"Tract 8811.09, Will County, IL"
2015,17197881111,1049,184,83835,"Tract 8811.11, Will County, IL"
2015,17197881112,1565,118,97159,"Tract 8811.12, Will County, IL"
2015,17197881113,1050.1904339886,87.0296474661,95092.0476931857,"Tract 8811.13, Will County, IL"
2015,17197881115,1213.8095660114,188.9703525339,101771,"Tract 8811.15, Will County, IL"
2015,17197881116,1252,16,109355,"Tract 8811.16, Will County, IL"
2015,17197881201,26.532871961999998,19.743944629,34503,NA
2015,17197881202,0.46594528239999994,0.3001094184,40357,NA
2015,17197881301,448.0148458878,353.27265289,34885.260754042705,"Tract 8813.01, Will County, IL"
2015,17197881302,185.45228215019998,213.98340248099998,36613,"Tract 8813.02, Will County, IL"
2015,17197881401,563,564,41756,"Tract 8814.01, Will County, IL"
