geoid,cntdenied,sumdenied,denial_rt_20,year
17197881009,1270,94,0.07,2019
17197880118,614,41,0.07,2019
17197881113,930,59,0.06,2019
17197880416,290,23,0.08,2019
17197884003,358,41,0.11,2019
17197880120,887,100,0.11,2019
17197880502,452,44,0.1,2019
17197883522,365,27,0.07,2019
17197880304,616,26,0.04,2019
17197883215,1474,121,0.08,2019
17197880313,1399,119,0.09,2019
17197880314,1108,94,0.08,2019
17197883303,443,23,0.05,2019
17197880119,588,47,0.08,2019
17197880308,1412,137,0.1,2019
17197883212,787,52,0.07,2019
17197880901,523,55,0.11,2019
17197880415,691,76,0.11,2019
17197883505,1121,115,0.1,2019
17197880421,871,87,0.1,2019
17197880309,777,47,0.06,2019
17197880204,484,48,0.1,2019
17197881002,535,53,0.1,2019
17197883304,148,9,0.06,2019
17197880414,390,48,0.12,2019
17197883514,783,65,0.08,2019
17197880420,1003,92,0.09,2019
17197880419,836,77,0.09,2019
17197880109,491,58,0.12,2019
17197880111,253,25,0.1,2019
17197880905,209,23,0.11,2019
17197880305,764,36,0.05,2019
17197883603,205,28,0.14,2019
17197883510,1330,84,0.06,2019
17197880418,542,45,0.08,2019
17197880312,2368,198,0.08,2019
17197881007,658,57,0.09,2019
17197880121,902,102,0.11,2019
17197880310,1731,138,0.08,2019
17197883902,590,72,0.12,2019
17197881700,328,32,0.1,2019
17197880112,182,24,0.13,2019
17197882601,230,27,0.12,2019
17197883402,167,19,0.11,2019
17197883214,253,19,0.08,2019
17197883206,333,40,0.12,2019
17197880106,299,42,0.14,2019
17197883517,321,31,0.1,2019
17197881200,140,30,0.21,2019
17197880505,586,77,0.13,2019
17197880702,113,25,0.22,2019
17197883306,326,24,0.07,2019
17197882701,179,20,0.11,2019
17197883211,685,80,0.12,2019
17197883516,1103,73,0.07,2019
17197880404,1429,91,0.06,2019
17197883511,463,43,0.09,2019
17197884006,163,11,0.07,2019
17197882602,76,14,0.18,2019
17197882000,25,12,0.48,2019
17197880203,276,39,0.14,2019
17197881603,163,13,0.08,2019
17197883216,364,33,0.09,2019
17197880701,431,31,0.07,2019
17197880412,443,50,0.11,2019
17197882100,39,9,0.23,2019
17197883208,235,25,0.11,2019
17197883804,150,19,0.13,2019
17197883904,426,40,0.09,2019
17197881108,838,55,0.07,2019
17197882200,116,28,0.24,2019
17197880507,537,73,0.14,2019
17197883509,510,32,0.06,2019
17197883519,555,54,0.1,2019
17197881500,276,35,0.13,2019
17197880503,409,39,0.1,2019
17197880408,429,43,0.1,2019
17197883606,272,47,0.17,2019
17197881402,198,22,0.11,2019
17197880113,186,22,0.12,2019
17197884101,271,30,0.11,2019
17197883700,173,36,0.21,2019
17197880410,962,104,0.11,2019
17197884004,230,26,0.11,2019
17197881001,575,50,0.09,2019
17197883213,548,40,0.07,2019
17197883602,639,135,0.21,2019
17197884103,275,36,0.13,2019
17197880303,475,31,0.07,2019
17197883401,280,33,0.12,2019
17197880115,197,25,0.13,2019
17197880117,164,14,0.09,2019
17197883209,224,20,0.09,2019
17197882801,162,14,0.09,2019
17197883811,236,30,0.13,2019
17197881401,201,23,0.11,2019
17197881111,373,28,0.08,2019
17197881800,193,24,0.12,2019
17197880306,973,74,0.08,2019
17197881012,270,24,0.09,2019
17197880411,336,40,0.12,2019
17197883000,135,19,0.14,2019
17197881105,919,63,0.07,2019
17197882400,68,15,0.22,2019
17197881112,682,42,0.06,2019
17197883210,234,26,0.11,2019
17197880105,625,77,0.12,2019
17197883504,618,56,0.09,2019
17197881116,459,26,0.06,2019
17197881010,555,37,0.07,2019
17197883513,688,56,0.08,2019
17197883307,395,37,0.09,2019
17197882900,114,23,0.2,2019
17197881604,135,18,0.13,2019
17197883809,195,47,0.24,2019
17197880116,253,23,0.09,2019
17197880202,458,55,0.12,2019
17197882802,116,13,0.11,2019
17197883605,71,20,0.28,2019
17197883806,317,56,0.18,2019
17197881011,315,31,0.1,2019
17197882702,169,18,0.11,2019
17197880107,382,44,0.12,2019
17197881006,262,24,0.09,2019
17197880903,90,12,0.13,2019
17197882300,183,23,0.13,2019
17197881107,331,19,0.06,2019
17197881115,539,41,0.08,2019
17197881601,149,13,0.09,2019
17197881109,528,28,0.05,2019
17197880601,293,21,0.07,2019
17197880602,256,26,0.1,2019
17197883100,182,38,0.21,2019
17197880114,102,17,0.17,2019
17197880417,268,23,0.09,2019
17197883810,316,48,0.15,2019
17197881005,372,41,0.11,2019
17197881900,53,12,0.23,2019
17197883521,349,17,0.05,2019
17197880307,693,69,0.1,2019
17197883903,121,11,0.09,2019
17197883515,492,41,0.08,2019
17197883507,441,39,0.09,2019
17197883305,272,18,0.07,2019
17197883808,143,20,0.14,2019
17197883803,45,7,0.16,2019
17197884005,100,12,0.12,2019
NA,6,6,1,2019
17197881302,21,5,0.24,2019
17197881301,33,4,0.12,2019
17197882500,25,10,0.4,2019
